Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
M5 General Purpose Eight Extra Large,m5.8xlarge,"442,865.71",General purpose,134.0 fps,128 GiB,32 vCPUs,EBS only,10 Gigabit,$1.536 hourly,$0.968 hourly,$0.4655 hourly,$3.008 hourly,$2.44 hourly
M5 General Purpose Large,m5.large,"28,469.751",General purpose,12.0 fps,8 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.096 hourly,$0.06 hourly,$0.0326 hourly,$0.188 hourly,$0.152 hourly
M5 General Purpose Metal,m5.metal,"1,318,409.668",General purpose,180.0 fps,384 GiB,96 vCPUs,EBS only,25 Gigabit,$4.608 hourly,$2.903 hourly,$1.3205 hourly,$9.024 hourly,$7.319 hourly
M5 General Purpose Extra Large,m5.xlarge,"59,119.125",General purpose,20.0 fps,16 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.192 hourly,$0.121 hourly,$0.0605 hourly,$0.376 hourly,$0.305 hourly
M5A 12xlarge Extra Large,m5a.12xlarge,"630,749.014",General purpose,117.0 fps,192 GiB,48 vCPUs,EBS only,10 Gigabit,$2.064 hourly,$1.30 hourly,$0.7828 hourly,$4.272 hourly,$3.508 hourly
M5A 16xlarge Extra Large,m5a.16xlarge,"810,673.873",General purpose,110.0 fps,256 GiB,64 vCPUs,EBS only,12 Gigabit,$2.752 hourly,$1.734 hourly,$0.9192 hourly,$5.696 hourly,$4.678 hourly
M5A 24xlarge,m5a.24xlarge,"1,205,575.788",General purpose,114.0 fps,384 GiB,96 vCPUs,EBS only,20 Gigabit,$4.128 hourly,$2.601 hourly,$1.2975 hourly,$8.544 hourly,$7.017 hourly
M5A Double Extra Large,m5a.2xlarge,"101,265.823",General purpose,37.0 fps,32 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.344 hourly,$0.217 hourly,$0.1385 hourly,$0.712 hourly,$0.585 hourly
M5A Quadruple Extra Large,m5a.4xlarge,"206,825.233",General purpose,68.0 fps,64 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.688 hourly,$0.433 hourly,$0.3121 hourly,$1.424 hourly,$1.169 hourly
M5A Eight Extra Large,m5a.8xlarge,"419,369.635",General purpose,99.0 fps,128 GiB,32 vCPUs,EBS only,Up to 10 Gigabit,$1.376 hourly,$0.867 hourly,$0.641 hourly,$2.848 hourly,$2.339 hourly
M5A Large,m5a.large,"26,516.407",General purpose,9.6 fps,8 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.086 hourly,$0.054 hourly,$0.0399 hourly,$0.178 hourly,$0.146 hourly
