# id	index_base	species	assembly	source	url	expected_ext	notes
grch38p14	GRCh38.p14	Human	GRCh38.p14	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.40_GRCh38.p14/GCF_000001405.40_GRCh38.p14_genomic.fna.gz	bt2	Current GRCh38 patch release; full NCBI RefSeq genomic FASTA
hs1	hs1	Human	hs1 / T2T-CHM13v2.0	UCSC	https://hgdownload.soe.ucsc.edu/goldenPath/hs1/bigZips/hs1.fa.gz	bt2	UCSC hs1 reference based on T2T-CHM13v2.0
grcr8	GRCr8	Rat	GRCr8	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/323/735/GCF_036323735.1_GRCr8/GCF_036323735.1_GRCr8_genomic.fna.gz	bt2	Current Genome Reference Consortium rat reference
arsucd20	ARS-UCD2.0	Cow	ARS-UCD2.0	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/263/795/GCF_002263795.3_ARS-UCD2.0/GCF_002263795.3_ARS-UCD2.0_genomic.fna.gz	bt2	Current cattle reference replacing ARS-UCD1.2
roscfam10	ROS_Cfam_1.0	Dog	ROS_Cfam_1.0	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/441/545/GCF_014441545.1_ROS_Cfam_1.0/GCF_014441545.1_ROS_Cfam_1.0_genomic.fna.gz	bt2	Current Ensembl dog reference assembly
grcg7b	bGalGal1.mat.broiler.GRCg7b	Chicken	bGalGal1.mat.broiler.GRCg7b	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/699/485/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b/GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna.gz	bt2	Current Ensembl chicken reference assembly
irgsp10	IRGSP-1.0	Oryza sativa (rice)	IRGSP-1.0	Ensembl Plants	https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-62/fasta/oryza_sativa/dna/Oryza_sativa.IRGSP-1.0.dna.toplevel.fa.gz	bt2	Current Ensembl Plants rice reference
iwgsc	IWGSC	Wheat	IWGSC	Ensembl Plants	https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-62/fasta/triticum_aestivum/dna/Triticum_aestivum.IWGSC.dna.toplevel.fa.gz	bt2l	Current Ensembl Plants bread wheat reference; likely emits Bowtie 2 large-index files
morexv3	MorexV3_pseudomolecules_assembly	Barley	MorexV3_pseudomolecules_assembly	Ensembl Plants	https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-62/fasta/hordeum_vulgare/dna/Hordeum_vulgare.MorexV3_pseudomolecules_assembly.dna.toplevel.fa.gz	bt2l	Current Ensembl Plants barley reference; likely emits Bowtie 2 large-index files
